% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.490022123e+001 +8.490022123e+001 +1.256802212e+002 +1.256802212e+002 -6.7260e-001 -7.2557e-001 -4.7123e+000 +2.2374e+000 -2.4981e+000 +2.2755e-001 -1.4043e+000 +1.1116e+000 -4.9151e-001 -2.5625e+000 +4.5255e+000 +3.2693e+000 +1.0053e+000 +3.4064e+000 -1.1315e+000 -1.9939e-001 +3.1349e+000 +1.0248e+000 -3.7704e+000 -2.1380e+000
970 +6.256689997e+001 +6.256689997e+001 +1.033469000e+002 +1.033469000e+002 +4.0904e+000 +4.4604e-001 +2.9808e+000 -1.5578e+000 +3.0610e+000 +2.3481e+000 -5.2009e-001 -2.3342e+000 +9.4850e-001 +5.9885e+000 +5.3483e+000 +9.2064e-001 -4.7515e-001 +1.8670e+000 -6.0397e-002 -9.9554e-001 -1.4286e+000 -1.8584e+000 +6.5465e-001 +1.4596e+000
1812 +3.857437731e+001 +3.857437731e+001 +7.935437731e+001 +7.935437731e+001 +3.2291e+000 +1.7199e+000 +2.1367e+000 -1.8669e+000 +3.5169e+000 +2.1510e+000 +5.5225e-001 -1.5799e+000 +8.9339e-001 +4.8625e+000 +3.8502e+000 +2.3476e+000 -3.8164e-002 +1.6322e+000 -1.3546e-001 -1.2833e+000 -2.1360e-001 -3.8922e+000 +1.7995e+000 +7.1402e-001
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.536724679e+001 +8.536724679e+001 +8.376724679e+001 +8.376724679e+001 -3.5601e-002 +3.8676e+000 -4.8019e+000 -2.1861e+000 -2.6770e+000 +1.3391e+000 -1.6897e+000 +4.1352e+000 +2.8847e+000 -4.8593e+000 +4.0872e+000 -1.1802e+000 +2.6328e+000 -2.2958e+000 +4.4324e+000 -4.2461e+000 -3.4502e+000 -3.9468e+000 +1.3216e+000 +4.1533e+000
790 +5.406522150e+001 +5.406522150e+001 +5.246522150e+001 +5.246522150e+001 -3.6198e+000 +2.3005e+000 +1.8784e+000 -3.5888e+000 +2.9563e-002 +3.0914e+000 +2.5713e+000 -2.3130e+000 +2.6181e+000 +3.5102e+000 -2.2768e+000 -2.8821e+000 -1.7534e+000 -3.2728e+000 +3.5156e+000 -2.7795e+000 +1.5699e+000 -3.2910e+000 +6.5107e-001 +3.1876e+000
1265 +3.668273977e+001 +3.668273977e+001 +3.508273977e+001 +3.508273977e+001 -1.8059e+000 +3.7739e+000 +2.0542e+000 -3.0125e+000 +1.6271e-001 +2.3736e+000 +3.1481e+000 -1.3640e+000 +2.1803e+000 +1.9020e+000 -2.1626e+000 -2.1042e+000 -7.5745e-001 -2.3337e+000 +2.6432e+000 -2.1244e+000 -4.3463e-001 -3.3900e+000 +1.9243e+000 +2.8397e+000
1361 +1.981390483e+001 +1.981390483e+001 +1.821390483e+001 +1.821390483e+001 -2.7229e+000 +4.1099e+000 +6.4191e-001 -3.0281e+000 -4.1341e-001 +1.8396e+000 +3.9198e+000 -1.1832e+000 +2.7001e+000 +3.6172e+000 -1.2985e+000 -3.5185e+000 -7.1416e-001 -2.2056e+000 +3.8913e+000 -3.0138e+000 +8.2442e-001 -4.4434e+000 +1.8599e+000 +3.4694e+000
1395 +1.430897121e+001 +1.430897121e+001 +1.270897121e+001 +1.270897121e+001 -2.7781e+000 +4.3983e+000 -8.7006e-001 -2.5856e+000 -1.3237e+000 +1.2944e+000 +4.7271e+000 -1.5605e+000 +2.0878e+000 +3.4719e+000 -8.6659e-001 -3.3445e+000 -8.5186e-001 -2.3834e+000 +4.1274e+000 -3.1710e+000 +1.8017e-001 -4.5481e+000 +1.9425e+000 +3.4761e+000
1768 +9.747516151e+000 +9.747516151e+000 +8.147516151e+000 +8.147516151e+000 -2.6739e+000 +4.0229e+000 -5.4886e-001 -2.8673e+000 -8.9567e-001 +2.8596e+000 +4.4085e+000 -1.0170e+000 +2.1871e+000 +3.0376e+000 -4.6468e-001 -3.0594e+000 -8.1391e-001 -1.8816e+000 +4.1241e+000 -4.2370e+000 -1.4207e+000 -2.9954e+000 +1.8518e+000 +2.9724e+000
1968 +3.487980663e+000 +3.487980663e+000 +1.887980663e+000 +1.887980663e+000 -3.5624e+000 +4.4858e+000 -3.4906e-001 -2.5979e+000 -1.4629e+000 +1.3740e+000 +4.1317e+000 -9.5245e-001 +1.8250e+000 +2.8592e+000 +7.5152e-001 -2.2785e+000 +5.1824e-003 -2.6791e+000 +4.1581e+000 -3.7173e+000 -9.6161e-001 -2.3020e+000 +2.6587e+000 +4.0989e+000
2333 +2.432366416e+000 +2.432366416e+000 +8.323664158e-001 +8.323664158e-001 -3.9379e+000 +4.4009e+000 -4.5224e-001 -2.7486e+000 -1.2884e+000 +2.0130e+000 +4.2480e+000 -8.4621e-001 +1.9705e+000 +3.0264e+000 +5.8407e-001 -2.3928e+000 +3.6906e-002 -2.3875e+000 +4.3524e+000 -3.8644e+000 -1.0979e+000 -2.3310e+000 +2.4100e+000 +4.4681e+000
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.277469477e+001 +8.277469477e+001 -2.880653052e+002 -2.880653052e+002 -2.4359e+000 -3.5534e+000 -2.2895e+000 -2.6652e+000 -3.3633e+000 +2.7947e+000 -1.5831e+000 -8.6399e-001 +4.6199e+000 -7.6360e-001 -3.2476e+000 +1.8437e+000 +3.3919e+000 -1.3002e+000 -3.4092e+000 +7.5604e-001 -1.9058e+000 -2.5808e+000 -9.1834e-001 +7.8970e-001
1303 +6.194346192e+001 +6.194346192e+001 -3.088965381e+002 -3.088965381e+002 +3.4763e+000 -2.2373e-001 +2.7551e+000 -3.4274e+000 +9.4859e-001 +2.5213e+000 +2.0551e+000 +4.4461e+000 -2.5436e+000 -5.6300e+000 -6.2121e+000 +1.4612e-001 -2.0193e+000 -1.8685e+000 +1.8611e+000 +2.8377e+000 +5.4891e+000 +2.0471e+000 +1.0397e+000 +8.8634e-001
1929 +3.658735440e+001 +3.658735440e+001 -3.342526456e+002 -3.342526456e+002 +3.2378e+000 +9.2146e-001 +3.2013e+000 -2.0016e+000 +1.1654e+000 +1.5291e+000 +3.5385e+000 +2.9617e+000 -2.2641e+000 -5.2590e+000 -6.5610e+000 -5.7790e-001 -2.7340e+000 -1.6420e+000 +1.0174e+000 +2.7819e+000 +5.3177e+000 +1.6961e+000 +7.6239e-001 +8.3351e-001
2381 +2.420257595e+001 +2.420257595e+001 -3.466374241e+002 -3.466374241e+002 +4.8433e+000 +1.7480e+000 +3.4269e+000 -9.4554e-001 +4.1299e-001 +1.1288e+000 +3.6949e+000 +3.5116e+000 -1.7619e+000 -4.8654e+000 -3.2818e+000 -1.5421e+000 -2.4087e+000 -1.1796e+000 +2.1472e+000 +3.1555e+000 +4.9857e+000 +1.2834e+000 +1.9048e+000 +6.4713e-001
2858 +1.568495265e+001 +1.568495265e+001 -3.551550474e+002 -3.551550474e+002 +4.5028e+000 +1.9468e+000 +4.1264e+000 -1.7224e+000 +5.1978e-001 +8.3566e-001 +2.5313e+000 +2.8071e+000 -2.1515e+000 -4.2460e+000 -2.5936e+000 -6.8949e-001 -2.5380e+000 -2.3132e+000 +2.4891e+000 +4.7121e+000 +4.6585e+000 +4.6074e-001 +2.2050e+000 +7.8673e-001
3983 +9.857605718e+000 +9.857605718e+000 -3.609823943e+002 -3.609823943e+002 +4.7053e+000 +1.5554e+000 +4.7764e+000 -1.4553e+000 +9.6212e-001 +5.4370e-001 +2.8584e+000 +2.4240e+000 -2.2792e+000 -4.6361e+000 -2.3415e+000 -6.9603e-001 -2.6314e+000 -1.9553e+000 +3.0711e+000 +4.0677e+000 +3.3688e+000 +1.0296e+000 +3.1395e+000 +1.9807e-001
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.540340641e+001 +8.540340641e+001 +5.284340641e+001 +5.284340641e+001 +1.1561e+000 +4.3699e+000 +1.7047e+000 +3.5473e+000 +1.2106e+000 +2.1841e+000 -2.0421e+000 +1.5539e+000 -4.5476e+000 -9.3283e-001 -1.5097e-001 +4.9463e+000 +1.2658e+000 -1.7893e+000 -9.9921e-001 -3.6190e-001 -1.5093e+000 -2.0817e+000 -4.1451e+000 -4.1078e+000
695 +6.262173684e+001 +6.262173684e+001 +3.006173684e+001 +3.006173684e+001 +1.2551e+000 -5.5103e+000 -3.0032e+000 +2.9358e+000 +4.8453e+000 +1.7630e+000 +4.5352e+000 -4.4887e+000 -2.1253e+000 +1.9716e+000 -2.0295e-001 +1.1142e+000 +1.4669e-001 +2.7334e-001 +1.2574e+000 +3.8726e+000 -2.5822e+000 +8.1692e-002 +1.2688e+000 +4.1722e+000
